priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUid,sourceUrl,mainImageUrl,reason
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,19.44,EXBX2025,51-63mm (2in-2.5in) EXPANDED ADAPTOR MILD STEEL NOTCHED END,exbx2025-51-63mm-2in-2-5in-expanded-adaptor-mild-steel-notched-end,MPI_EXBX2025,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,extractors-headers,rich,18.98,EMG333,SUBARU LIBERTY ENG PIPE GASK 8,emg333-subaru-liberty-eng-pipe-gask-8,MPI_EMG333,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,18.22,SUG009,"Gaskets Flange to suit Subaru Liberty Outback 2 Port, 3 Bolt",sug009-gaskets-flange-to-suit-subaru-liberty-outback-2-port-3-bolt,MPI_SUG009,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,17.56,FE564-10,"2 Bolt 2 1/2in ID Multi Fit 065-042 Flange, 93mm-105mm Bolt Centres, 11mm Slotted Bolt Holes, 10mm T",fe564-10-2-bolt-2-1-2in-id-multi-fit-065-042-flange-93mm-105mm-bolt-centres-11mm-slotted-bolt-holes-10mm-t,MPI_FE564-10,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,17.07,SSDR10-250,10mm Stainless Dumped Rod x 250mm Long,ssdr10-250-10mm-stainless-dumped-rod-x-250mm-long,MPI_SSDR10-250,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,16.95,CC199,"2 x 1 1/4in Inlet, 1 3/4in Outlet, Mild Steel Collector Cone",cc199-2-x-1-1-4in-inlet-1-3-4in-outlet-mild-steel-collector-cone,MPI_CC199,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,16.56,CB8-PIN,14mm THREADED Rod 75mm O.A. to Suit VE Ute Rear,cb8-pin-14mm-threaded-rod-75mm-o-a-to-suit-ve-ute-rear,MPI_CB8-PIN,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,mufflers-resonators,rich,16.50,DNR030,"Nissan Patrol Y62 Centre & Rear Muffler, Cross Bolt Rubber Hanger Mount",dnr030-nissan-patrol-y62-centre-and-rear-muffler-cross-bolt-rubber-hanger-mount,MPI_DNR030,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,16.06,FE055-8,"2 Bolt Flange Plate 1 1/4 in (32mm) ID, 55mm B.C, 9mm Holes, 8 mm Thick. Matches ARG001 Gasket.",fe055-8-2-bolt-flange-plate-1-1-4-in-32mm-id-55mm-b-c-9mm-holes-8-mm-thick-matches-arg001-gasket,MPI_FE055-8,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,15.42,MAG019,MAZDA 626 E/P JOIN GASKET,mag019-mazda-626-e-p-join-gasket,MPI_MAG019,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,14.88,UNG001,Universal Ring Gasket 2in ID (Double Taper Olive Type),ung001-universal-ring-gasket-2in-id-double-taper-olive-type,MPI_UNG001,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,14.56,FE065STUB,"2 1/2in OD x 40mm Long Stub On 2 Bolt Ford Flange, 93mm Bolt Centres, 11mm Bolt Holes",fe065stub-2-1-2in-od-x-40mm-long-stub-on-2-bolt-ford-flange-93mm-bolt-centres-11mm-bolt-holes,MPI_FE065STUB,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,14.56,FE122-8,"2 Bolt 1 1/2in,39.1mm Centre Hole, 63mm Bolt Centres, 10mm Bolt Holes, 8mm Thick",fe122-8-2-bolt-1-1-2in-39-1mm-centre-hole-63mm-bolt-centres-10mm-bolt-holes-8mm-thick,MPI_FE122-8,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,14.56,FE164B-10SS,"Stainless 2 Bolt Ford EA - BF Cat 2in 87mm Bolt Centres, 12.3mm Bolt Holes, 10mm Thick",fe164b-10ss-stainless-2-bolt-ford-ea-bf-cat-2in-87mm-bolt-centres-12-3mm-bolt-holes-10mm-thick,MPI_FE164B-10SS,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,13.86,FE116D-P,"Sensor Plug, M22 x 1.5, Suit FE116D, FE116D-S Sensor Ports",fe116d-p-sensor-plug-m22-x-1-5-suit-fe116d-fe116d-s-sensor-ports,MPI_FE116D-P,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,13.61,EGR-P14-8,"Wastegate 38mm Blanking Flange Plate, 71mm Bolt Centres, 9mm Bolt Holes, 8mm Thick",egr-p14-8-wastegate-38mm-blanking-flange-plate-71mm-bolt-centres-9mm-bolt-holes-8mm-thick,MPI_EGR-P14-8,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,12.71,FE042NC,M18x1.5 Concave O2 Sensor Nut,fe042nc-m18x1-5-concave-o2-sensor-nut,MPI_FE042NC,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,12.28,FE199-8,"4 Bolt Flange 2 1/4 in  ID, 60mm Bolt Centres, 9mm Bolt Holes",fe199-8-4-bolt-flange-2-1-4-in-id-60mm-bolt-centres-9mm-bolt-holes,MPI_FE199-8,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,12.13,GMG093-SS,4 ply stainless firering Universal 2 Bolt Gasket 2 1/2in Centre 105mm Bolt Centres,gmg093-ss-4-ply-stainless-firering-universal-2-bolt-gasket-2-1-2in-centre-105mm-bolt-centres,MPI_GMG093-SS,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,11.61,FE196-8,"4 Bolt Flange 2in ID, 9mm Bolt Holes",fe196-8-4-bolt-flange-2in-id-9mm-bolt-holes,MPI_FE196-8,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
